,RANK,FREQUENCY,WORD,PART OF SPEECH
0,5,2186369,a,det
1,2107,4249,abandon,v
2,5204,1110,abbey,n
3,966,10468,ability,n
4,321,30454,able,a
5,6277,809,abnormal,a
6,3862,1744,abolish,v
7,5085,1154,abolition,n
8,4341,1471,abortion,n
9,179,52561,about,adv
10,69,144554,about,prep
11,3341,2139,above,a
12,942,10719,above,adv
13,786,12889,above,prep
14,2236,3941,abroad,adv
15,5106,1146,abruptly,adv
16,1602,5949,absence,n
17,4266,1504,absent,a
18,2435,3489,absolute,a
19,1651,5782,absolutely,adv
20,2907,2684,absorb,v
21,5769,932,absorption,n
22,4083,1605,abstract,a
23,5655,966,absurd,a
24,2461,3428,abuse,n
25,4570,1364,abuse,v
26,1974,4594,academic,a
27,5342,1059,academic,n
28,5453,1025,academy,n
29,5188,1114,accelerate,v
30,3707,1842,accent,n
31,507,20373,accept,v
32,2351,3647,acceptable,a
33,2895,2702,acceptance,n
34,997,10099,access,n
35,4516,1389,access,v
36,4024,1637,accessible,a
37,1207,8374,accident,n
38,3418,2065,accommodate,v
39,2085,4305,accommodation,n
40,1892,4885,accompany,v
41,5648,968,accomplish,v
42,5723,947,accord,n
43,5613,976,accord,v
44,3443,2042,accordance,n
45,646,15722,according,prep
46,3214,2288,accordingly,adv
47,536,19260,account,n
48,1562,6130,account,v
49,5011,1184,accountability,n
50,3289,2199,accountant,n
51,4018,1640,accounting,a
52,5279,1084,accumulate,v
53,5570,987,accumulation,n
54,3934,1692,accuracy,n
55,2743,2928,accurate,a
56,4436,1423,accurately,adv
57,5088,1153,accusation,n
58,2190,4047,accuse,v
59,4521,1387,accused,a
60,611,16628,achieve,v
61,1980,4586,achievement,n
62,1613,5897,acid,n
63,2139,4151,acknowledge,v
64,5809,920,acquaintance,n
65,1512,6354,acquire,v
66,2546,3245,acquisition,n
67,3327,2150,acre,n
68,2457,3439,across,adv
69,474,21763,across,prep
70,455,22657,act,n
71,654,15620,act,v
72,371,26894,action,n
73,4708,1293,activate,v
74,1332,7290,active,a
75,4294,1493,actively,adv
76,4736,1285,activist,n
77,440,23105,activity,n
78,2413,3540,actor,n
79,5376,1051,actress,n
80,1414,6849,actual,a
81,385,25990,actually,adv
82,3205,2294,acute,a
83,2906,2687,adapt,v
84,5153,1132,adaptation,n
85,363,27367,add,v
86,4624,1334,added,a
87,949,10664,addition,n
88,1319,7364,additional,a
89,1566,6112,address,n
90,1625,5872,address,v
91,2397,3571,adequate,a
92,5097,1149,adequately,adv
93,4047,1624,adjacent,a
94,5496,1012,adjective,n
95,2898,2697,adjust,v
96,3370,2114,adjustment,n
97,3769,1795,administer,v
98,1409,6865,administration,n
99,2407,3548,administrative,a
100,4314,1483,administrator,n
101,5654,966,admiration,n
102,3312,2168,admire,v
103,2861,2742,admission,n
104,925,10905,admit,v
105,1186,8549,adopt,v
106,4191,1544,adoption,n
107,4182,1547,adult,a
108,1411,6855,adult,n
109,1840,5055,advance,n
110,2683,3032,advance,v
111,2583,3183,advanced,a
112,981,10285,advantage,n
113,3491,1993,adventure,n
114,5010,1184,adverse,a
115,3386,2099,advertise,v
116,3344,2136,advertisement,n
117,2392,3582,advertising,n
118,971,10437,advice,n
119,1839,5055,advise,v
120,2580,3191,adviser,n
121,4277,1500,advisory,a
122,5848,911,advocate,n
123,4029,1636,advocate,v
124,5444,1027,aesthetic,a
125,954,10561,affair,n
126,789,12867,affect,v
127,4092,1601,affection,n
128,6101,847,affinity,n
129,1769,5346,afford,v
130,1596,5967,afraid,a
131,312,30855,after,conj
132,111,85939,after,prep
133,1128,8934,afternoon,n
134,1991,4544,afterwards,adv
135,160,59829,again,adv
136,169,56208,against,prep
137,399,25340,age,n
138,4142,1565,age,v
139,2641,3096,aged,prep
140,1054,9579,agency,n
141,3069,2427,agenda,n
142,1233,8100,agent,n
143,5294,1078,aggregate,a
144,4845,1243,aggression,n
145,3581,1925,aggressive,a
146,522,19808,ago,adv
147,5475,1017,agony,n
148,428,23497,agree,v
149,5218,1106,agreed,a
150,651,15627,agreement,n
151,2593,3162,agricultural,a
152,2265,3858,agriculture,n
153,1145,8809,ahead,adv
154,1249,7903,aid,n
155,3398,2086,aid,v
156,3042,2463,aids,n
157,1306,7460,aim,n
158,1281,7638,aim,v
159,544,19046,air,n
160,1548,6200,aircraft,n
161,3500,1982,airline,n
162,2855,2756,airport,n
163,3169,2322,alarm,n
164,4914,1222,alarm,v
165,4477,1406,albeit,conj
166,2957,2581,album,n
167,2662,3066,alcohol,n
168,6273,810,alert,a
169,5170,1125,alert,v
170,6003,868,alien,a
171,4773,1270,alike,adv
172,2103,4254,alive,a
173,171,55704,all,adv
174,43,230737,all,det
175,3360,2124,allegation,n
176,3731,1820,allege,v
177,3887,1728,alleged,a
178,5398,1041,allegedly,adv
179,2422,3518,alliance,n
180,5630,972,allied,a
181,3060,2445,allocate,v
182,3193,2305,allocation,n
183,279,33687,allow,v
184,2472,3411,allowance,n
185,3105,2381,ally,n
186,300,31588,almost,adv
187,1365,7088,alone,a
188,1528,6262,alone,adv
189,1235,8081,along,adv
190,627,16233,along,prep
191,2883,2720,alongside,prep
192,5533,999,aloud,adv
193,275,34292,already,adv
194,2386,3592,alright,a
195,1926,4777,alright,adv
196,81,124884,also,adv
197,5643,969,altar,n
198,2183,4061,alter,v
199,4226,1527,alteration,n
200,1828,5098,alternative,a
201,1797,5228,alternative,n
202,3894,1723,alternatively,adv
203,215,43635,although,conj
204,2558,3218,altogether,adv
205,5546,995,aluminium,n
206,201,46228,always,adv
207,5452,1025,amateur,a
208,5879,900,amateur,n
209,3658,1873,amazing,a
210,4788,1264,ambassador,n
211,5345,1058,ambiguity,n
212,6146,837,ambiguous,a
213,3177,2319,ambition,n
214,4228,1526,ambitious,a
